abandon,porzucić
abandoned,opuszczony
ability,umiejętność
able,zdolny
about,o
above,powyżej
abroad,za granicą
absence,brak
absent,nieobecny
absolute,absolutny
absolutely,absolutnie
absorb,absorbować
abuse,nadużycie
academic,akademicki
accent,akcent
accept,zaakceptować
acceptable,do przyjęcia
access,dostęp
accident,wypadek
accidental,przypadkowy
accidentally,przypadkowo
accommodation,nocleg
accompany,towarzyszyć
according to,według
account,konto
account for,konto dla
accurate,dokładny
accurately,dokładnie
accuse,oskarżać
achieve,osiągać
achievement,osiągnięcie
acid,kwas
acknowledge,uznać
a couple,parę
acquire,nabyć
across,przez
act,działać
action,akcja
active,aktywny
actively,aktywnie
activity,czynność
actor,aktor
actress,aktorka
actual,rzeczywisty
actually,tak właściwie
ad,ogłoszenie
adapt,przystosować się
add,dodać
addition,dodanie
additional,dodatkowy
add on,dodatek
address,adres
add up,sumować
add up to,sumują się do
adequate,odpowiedni
adequately,odpowiednio
adjust,dostosować
admiration,podziw
admire,podziwiać
admit,przyznać
adopt,przyjąć
adult,dorosły
advance,postęp
advanced,zaawansowane
advantage,korzyść
adventure,przygoda
advert,ogłoszenie
advertise,reklamować
advertisement,Reklama
advertising,reklama
advice,Rada
advise,doradzać
affair,sprawa
affect,oddziaływać
affection,tkliwość
afford,pozwolić sobie
afraid,przestraszony
after,po
afternoon,popołudnie
afterwards,potem
again,jeszcze raz
against,przeciwko
age,wiek
aged,w wieku
agency,agencja
agent,agent
aggressive,agresywny
ago,temu
agree,zgodzić się
agreement,umowa
ahead,przed siebie
aid,pomoc
aim,cel
air,powietrze
aircraft,samolot
airport,lotnisko
alarm,alarm
alarmed,zaniepokojony
alarming,alarmujące
alcohol,alkohol
alcoholic,alkoholowy
alive,żywy
all,wszystko
allied,sprzymierzony
allow,dopuszczać
allow for,pozwalać na
all right,w porządku
ally,sprzymierzyć
almost,prawie
alone,sam
along,wzdłuż
alongside,wzdłuż
aloud,głośno
alphabet,alfabet
alphabetical,alfabetyczny
alphabetically,alfabetycznie
already,już
also,również
alter,zmieniać
alternative,alternatywny
alternatively,alternatywnie
although,mimo że
altogether,całkowicie
always,zawsze
a.m.,jestem.
amaze,zadziwiać
amazed,zdumiony
amazing,niesamowity
ambition,ambicja
ambulance,karetka pogotowia
among,pośród
amount,ilość
amount to,wynieść
amuse,bawić
amused,rozbawiony
amusing,zabawny
analyse,analizować
analysis,analiza
ancient,starożytny
and,i
anger,gniew
angle,kąt
angrily,gniewnie
angry,zły
animal,zwierzę
ankle,kostka
anniversary,rocznica
announce,ogłosić
annoy,drażnić
annoyed,zirytowany
annoying,denerwujący
annual,roczny
annually,rocznie
another,inne
answer,odpowiedź
anti-,anty-
anticipate,przewidywać
anxiety,niepokój
anxious,niespokojny
anxiously,z niepokojem
